"","sampled_ancestors","anagenetic_ancestors"
"Baculites_asper",1,0
"Baculites_asperiformis",1,0
"Baculites_baculus",1,1
"Baculites_boulei",1,0
"Baculites_capensis",1,0
"Baculites_chicoensis",1,0
"Baculites_claviformis",1,0
"Baculites_clinolobatus",1,0
"Baculites_codyensis",0,0
"Baculites_compressus",1,0
"Baculites_cuneatus",1,1
"Baculites_eliasi",1,1
"Baculites_gilberti",1,0
"Baculites_grandis",1,0
"Baculites_gregoryensis",1,0
"Baculites_haresi",1,0
"Baculites_inornatus",1,0
"Baculites_jenseni",1,1
"Baculites_kirki",0,0
"Baculites_lomaensis_EPC",1,0
"Baculites_lomaensis_GCP",0,0
"Baculites_maclearni",1,0
"Baculites_obtusus",1,0
"Baculites_occidentalis",0,0
"Baculites_ovatus",1,0
"Baculites_perplexus",1,0
"Baculites_reesidei",0,0
"Baculites_rex",1,0
"Baculites_rugosus",1,0
"Baculites_schenki",1,0
"Baculites_scotti",1,1
"Baculites_taylorensis",1,0
"Baculites_undatus",1,0
"Baculites_yokoyamai",1,0
"Eubaculites_carinatus",1,0
"Eubaculites_labyrinthicus",0,0
"Eubaculites_latecarinatus",0,0
"Eubaculites_ootacodensis",0,0
"Sciponoceras_baculoides",1,0
"Sciponoceras_gracile",1,0
"Sciponoceras_kossmati",1,0
"Trachybaculites_columna_EPC",1,0
"Trachybaculites_columna_GCP",0,0
